loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 77, 09, 28.1, 6, 50, 19.7,  1, Gaia DR3 
1, 80, 42, 17.5, 11, 45, 47.5, 2, HIP 86543 
1, 83, 38, 51.7, 16, 31, 28.0, 4, Gaia DR3 4547425340518620288
1, 83, 58, 54.6, 21, 49, 47.6, 6, HIP 83942 
6, 55, 31, 41.9, 12, 55, 55.9, 1, Gaia DR3 2025302411228236544
6, 47, 03, 35.7, 19, 13, 16.0, 2, HIP 97789 
6, 34, 29, 20.0, 28, 19, 40.8, 4, Gaia DR3 2180100699105023744
6, 10, 22, 24.2, 34, 24, 00.9, 6, Gaia DR3 2201914425678418944
