loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 78, 57, 57.9, 8, 42, 17.3, 1, HD 162281 
1, 78, 40, 29.6, 15, 31, 43.9, 2, SAO 102981 
1, 83, 23, 08.8, 19, 40, 14.6, 3, V466 Her 
1, 83, 29, 19.5, 22, 44, 11.6, 4, Gaia DR3 4571320408246500864
1, 79, 33, 26.9, 35, 38, 10.4, 6, HIP 82275 
6, 50, 52, 48.4, 16, 29, 40.1, 1, HIP 96619 
6, 29, 18, 49.4, 24, 54, 33.1, 2, LDN 958
6, 19, 58, 05.9, 32, 44, 17.1, 3, HIP 106457 
6, 2, 42, 07.2, 33, 44, 06.0, 4, Gaia DR3 2015673030136983680
6, 336, 13, 39.4, 30, 34, 06.6, 6, HIP 10479 
