loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 78, 16, 42.2, 9, 14, 27.6,  1, HIP 87420 
1, 78, 31, 44.7, 14, 12, 51.1, 2, Gaia DR3 4550476382207614848
1, 83, 16, 36.3, 17, 27, 38.6, 3, Gaia DR3 4548334185660313216
1, 83, 03, 21.3, 21, 42, 29.5, 4, HD 155345 
1, 80, 30, 01.3, 32, 17, 21.1, 6, HIP 82751
1, 78, 33, 42.3, 40, 13, 23.8, 7, SAO 46215 
6, 51, 27, 28.5, 15, 21, 53.0, 1, SAO 68630 
6, 33, 34, 07.2, 24, 08, 14.7, 2, HD 197138 
6, 25, 09, 08.2, 31, 55, 24.1, 3, Gaia DR3 2188953004654526336
6, 7, 53, 39.7, 33, 43, 44.4,  4, Gaia DR3 2206875834459894016
6, 339, 59, 38.6, 31, 04, 26.8, 6, HIP 8929 
6, 328, 55, 33.1, 28, 59, 50.5, 7, Gaia DR3 440570362181966592
