loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 76, 45, 24.9, 6, 44, 37.7,  1, HIP 88627 
1, 81, 48, 42.8, 10, 25, 31.0, 2, Gaia DR3 4494197329782974336
1, 84, 04, 38.1, 14, 50, 21.6, 4, Gaia DR3 4543965177425259904
1, 84, 58, 07.7, 19, 54, 02.9, 6, Gaia DR3 4560918650294993920
6, 56, 21, 03.7, 12, 18, 54.3, 1, HD 183587 
6, 51, 59, 35.2, 18, 52, 46.1, 2, HIP 96174 
6, 41, 29, 49.0, 27, 34, 22.9, 4, HD 189429 
6, 21, 39, 04.3, 35, 17, 15.0, 6, HD 239638 
