loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 81, 30, 40.8, 22, 18, 47.3, Gaia DR3 4568780841329917824
1, 82, 22, 50.3, 23, 00, 19.8, Gaia DR3 4571747014462727168
1, 84, 45, 00.0, 23, 09, 30.4, Gaia DR3 4571442454039359360
1, 85, 35, 05.9, 22, 37, 55.3, Gaia DR3 4565199770614786944
1, 85, 38, 10.0, 21, 59, 22.6, SAO 84749 
1, 85, 15, 32.9, 20, 33, 58.5, Gaia DR3 4561700540501390848
1, 83, 53, 30.4, 20, 02, 47.7, Gaia DR3 4567006955415948032
1, 82, 36, 18.6, 20, 02, 42.9, Gaia DR3 4567099589271510272
1, 81, 34, 57.4, 20, 52, 41.3, HIP 84555 
1, 81, 19, 12.9, 21, 54, 56.1, Gaia DR3 4568574412319350784 
6, 8, 28, 23.3, 37, 16, 52.1, HD 215251 
6, 9, 54, 02.9, 36, 58, 31.1, SAO 20136 
6, 11, 29, 03.7, 36, 10, 59.3, Gaia DR3 2205434061176966272
6, 11, 42, 40.5, 33, 39, 41.6, HIP 110671 
6, 11, 19, 42.9, 31, 42, 45.5, Gaia DR3 2200208395953088128
6, 8, 39, 52.0, 30, 04, 00.1, Gaia DR3 2007184937816469248
6, 7, 20, 25.2, 30, 01, 58.5, Gaia DR3 2010142349215617536
6, 5, 28, 14.2, 30, 44, 43.2, HD 240209 
6, 4, 52, 28.2, 31, 18, 13.8, HD 240230 
6, 4, 26, 51.0, 32, 40, 16.0, HD 240238 
6, 4, 48, 02.4, 36, 33, 34.7, HD 218866 
6, 5, 39, 03.1, 37, 25, 54.2, Gaia DR3 2208860349868840832
6, 7, 03, 23.1, 37, 34, 32.1, SAO 20287 
