loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 84, 58, 44.1, 22, 57, 35.9, HIP 83254
1, 81, 46, 07.2, 22, 43, 30.9, SAO 84922
1, 81, 11, 34.6, 22, 16, 43.3, HIP 84431
1, 81, 07, 23.1, 21, 29, 45.4, HIP 84599
1, 81, 12, 25.3, 21, 06, 08.1, Gaia DR3 4567729506353207296
1, 82, 50, 16.1, 20, 29, 05.5, HIP 84275
1, 83, 46, 50.2, 20, 06, 54.5, Gaia DR3 4567015133033681920
1, 85, 19, 41.4, 19, 25, 35.2, Gaia DR3 4560792996731605888
5, 25, 50, 13.7, 48, 44, 19.2, 63 Draconis
5, 26, 16, 10.0, 46, 01, 38.9, 67 Draconis
5, 28, 04, 16.9, 40, 17, 25.1, 71 Draconis
5, 32, 58, 56.8, 37, 03, 52.5, HD 191009
5, 41, 19, 18.9, 40, 07, 16.1, 53 Draconis
5, 42, 16, 34.5, 43, 45, 07.1, 47 Draconis
