loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 81, 49, 51.4, 23, 10, 33.9, 63 Her 
1, 83, 45, 25.2, 24, 19, 01.5, HD 153992 
1, 85, 12, 39.4, 24, 12, 43.5, SAO 84713 
1, 85, 53, 30.8, 22, 26, 08.7, Gaia DR3 4565082049853001344
1, 84, 35, 03.8, 21, 15, 41.6, HD 154580 
1, 83, 31, 55.2, 20, 35, 45.5, HIP 84020 
1, 81, 42, 04.2, 22, 15, 55.9, Gaia DR3 4568687318419142144
6, 8, 56, 25.6, 35, 33, 44.6, HIP 111999 
6, 9, 07, 20.7, 33, 01, 13.8, Gaia DR3 2200822404478313472
6, 8, 09, 44.8, 31, 19, 00.8, HIP 112881 
6, 6, 27, 03.9, 30, 41, 56.2, HIP 113852
6, 3, 44, 05.8, 30, 53, 57.5, Gaia DR3 2010518176024073600
6, 2, 37, 54.4, 31, 28, 15.8, Gaia DR3 2012017497567193856
6, 2, 05, 21.5, 32, 52, 47.7, Gaia DR3 2012399951513914496
6, 1, 49, 08.8, 36, 00, 44.3, HIP 116197 
6, 2, 54, 34.1, 37, 15, 47.2, HIP 115503 
6, 4, 46, 21.2, 38, 06, 04.2, HIP 114302 
6, 6, 23, 24.5, 37, 28, 13.9, Gaia DR3 2211850643537796736
6, 8, 17, 57.0, 35, 53, 38.4, HIP 112338
